category_id,views_fd,likes_fd,dislikes_fd,comment_count_fd,weekday_weekend,days_spent_trending
26,1868920,91941,1469,9061,0,13
24,236283,10765,126,1946,0,13
20,2079137,99990,2844,7857,0,13
22,1723106,116844,1240,10718,0,13
26,65823,1845,27,58,1,13
24,1585857,53116,1416,4802,0,13
20,1644037,42309,1177,12770,0,13
1,56072,2787,66,235,1,13
24,527892,3538,433,394,0,13
1,2207287,60752,2390,8153,0,13
23,1142949,54689,2385,4117,0,13
24,488915,66620,2020,2,0,13
10,5275672,1401915,6268,158127,0,13
24,90767,566,48,23,0,13
24,649169,21565,921,1755,0,13
10,2673454,244699,35083,24784,0,13
10,473734,49622,745,3002,0,13
10,12258,1326,37,161,0,13
28,1375783,20953,2227,0,0,13
10,549934,16927,422,615,0,13
22,661775,0,0,0,0,13
24,188770,690,90,141,0,13
24,2703778,18185,1778,3508,1,13
1,931830,19685,733,1296,0,13
24,281544,7567,72,214,0,13
10,408491,34574,690,1911,0,13
10,215715,11724,236,762,0,13
24,1272195,22350,1745,1937,0,13
17,7523584,232356,7550,17752,0,13
10,4787890,253417,6485,30077,0,13
24,19716689,975715,9118,127045,0,13
24,173401,14192,100,1430,0,13
10,487995,29447,857,3139,0,13
23,237081,19147,791,3869,1,13
1,822203,30296,693,4070,0,13
26,259441,16418,359,1501,1,13
24,4293828,202649,6486,24397,1,13
26,374314,21629,662,1668,0,13
10,2463996,341482,2576,38517,0,13
28,380254,15476,417,2697,0,13
26,1533800,122320,1156,171128,0,13
24,1801695,369820,1140,29618,0,13
19,527444,21626,274,2408,0,13
17,308740,1311,815,663,0,13
1,276966,3173,924,678,0,13
1,282380,35093,303,1944,1,13
26,117785,4294,105,513,0,13
26,322191,18652,537,2406,0,13
22,2947593,109413,1358,9534,0,13
24,347376,3302,198,618,0,13
10,466372,66269,628,6541,0,13
23,632124,31292,729,1876,1,13
24,331976,4427,288,426,0,13
28,1868552,75936,2932,12658,1,13
24,780422,17430,379,1819,0,13
26,211615,11419,329,1295,1,13
24,1743432,154763,1538,13166,0,13
1,226597,2234,79,239,0,13
24,2303616,110998,2168,9914,1,13
24,217083,6279,187,1040,0,13
24,541311,14897,464,1968,1,13
28,49993,2498,87,0,1,13
26,152333,7751,116,676,0,13
1,1613498,6529,6316,0,1,13
24,298219,10363,648,1637,0,13
24,377085,7531,225,1655,0,13
